club_id,club,num_of_players,90s_played,yellow_cards,red_cards,second_yellow_card,fouls_committed,fouls_drawn,offsides,crosses,interceptions,tackles_won,penalty_kicks_won,penalty_kicks_conceded,own_goals,league,season,ball_recoveries,aerials_won,aerials_lost,%_of_aerials_won
38,Başakşehir,33,38,73,2,2,472.0,351.0,67.0,596.0,333.0,307.0,,,0,Super_Lig,2021_2022,,,,
38,Başakşehir,38,34,73,6,3,418.0,393.0,78.0,512.0,265.0,301.0,,,2,Super_Lig,2022_2023,,,,
39,Beerschot,33,34,81,9,3,395.0,382.0,55.0,550.0,425.0,419.0,3.0,7.0,2,Belgian_Pro_League,2021_2022,1690.0,537.0,555.0,49.0
40,Benfica,34,34,67,3,2,391.0,392.0,76.0,675.0,298.0,420.0,5.0,7.0,0,Primeira_Liga,2023_2024,1929.0,382.0,358.0,51.0
40,Benfica,35,34,81,3,1,493.0,445.0,82.0,696.0,319.0,339.0,3.0,2.0,1,Primeira_Liga,2021_2022,1752.0,444.0,378.0,54.0
40,Benfica,32,34,65,3,3,437.0,424.0,84.0,807.0,364.0,395.0,10.0,2.0,1,Primeira_Liga,2022_2023,2028.0,445.0,378.0,54.0
41,Beroe,38,35,110,6,3,,,,,,,,,0,Bulgarian_First_League,2022_2023,,,,
41,Beroe,40,35,110,8,3,,,,,,,,,0,Bulgarian_First_League,2023_2024,,,,
41,Beroe,28,32,82,5,3,,,,,,,,,0,Bulgarian_First_League,2021_2022,,,,
42,Betis,31,38,87,6,1,485.0,470.0,71.0,547.0,361.0,392.0,4.0,3.0,2,La_Liga,2021_2022,1908.0,505.0,511.0,49.0
42,Betis,30,38,83,15,3,414.0,535.0,74.0,514.0,364.0,421.0,4.0,3.0,1,La_Liga,2022_2023,1918.0,453.0,502.0,47.0
42,Betis,35,38,87,3,1,429.0,497.0,73.0,636.0,345.0,440.0,1.0,8.0,3,La_Liga,2023_2024,1921.0,479.0,500.0,48.0
43,Beşiktaş,37,38,92,4,1,519.0,458.0,54.0,748.0,359.0,370.0,,,1,Super_Lig,2023_2024,,,,
